State,Poll Source,Poll Date,Sample Size,Reported Proportion for Biden,Reported Proportion for Trump,Estimated p hat Biden wins,Estimated std dev,Grade,Bias
Alabama,Auburn U. Montgomery,10/05/2020,1072.0,40.0,60.0,0.4,0.014962640041614494,0,0
Alabama,Axios / SurveyMonkey,10/01/2020,1354.0,40.0,60.0,0.4,0.013313624034556867,D-,D +5.6
Alabama,Morning Consult,8/04/2020,609.0,39.0,61.0,0.39,0.019764624815277167,0,0
Alabama,AUM Poll,7/10/2020,567.0,43.0,57.0,0.43,0.02079122729121906,0,0
Alabama,Mason-Dixon,2/11/2020,625.0,40.0,60.0,0.4,0.019595917942265426,B+,R +0.7
Alabama,WPA Intelligence,1/28/2020,500.0,39.5,60.5,0.395,0.021862067605786968,B/C,R +2.1
Alaska,NY Times / Siena College,10/16/2020,423.0,47.0,53.0,0.47,0.024267032964268395,A+,R +0.4
Alaska,Alaska Survey Research,10/06/2020,676.0,48.0,52.0,0.48,0.019215378456610456,0,0
Alaska,Axios / SurveyMonkey,10/01/2020,563.0,46.0,54.0,0.46,0.021004947399965345,D-,D +5.6
Alaska,Public Policy,7/28/2020,885.0,47.0,53.0,0.47,0.016777035690302155,B,D +0.4
Alaska,Alaska Survey Research,7/17/2020,663.0,49.5,50.5,0.495,0.019417419990694504,0,0
Alaska,Public Policy,7/09/2020,1081.0,48.5,51.5,0.485,0.015200631711883985,B,D +0.4
Arizona,Monmouth University,10/15/2020,502.0,53.0,47.0,0.53,0.02227588695074185,0,0
Arizona,OH Predictive Insights,10/15/2020,608.0,51.5,48.5,0.515,0.02026855063236743,0,0
Arizona,Ipsos/Reuters,10/14/2020,667.0,52.0,48.0,0.52,0.019344583054520026,B-,D +0.5
Arizona,Morning Consult,10/13/2020,1144.0,51.5,48.5,0.515,0.014776156137838765,0,0
Arizona,Redfield & Wilton,10/09/2020,727.0,53.0,47.0,0.53,0.018510564291003916,0,0
Arizona,Trafalgar Group,10/09/2020,1087.0,48.0,52.0,0.48,0.015153310367289272,0,0
Arizona,Ipsos/Reuters,10/07/2020,663.0,51.0,49.0,0.51,0.01941450686788302,B-,D +0.5
Arizona,Data Orbital,10/07/2020,550.0,52.5,47.5,0.525,0.021293404868857654,0,0
Arizona,CNBC/Change Research,10/06/2020,296.0,53.0,47.0,0.53,0.029009551083290723,C-,D +1.6
Arizona,NY Times / Siena College,10/05/2020,655.0,54.0,46.0,0.54,0.01947399910704974,A+,R +0.4
Arizona,Redfield & Wilton,10/02/2020,871.0,51.5,48.5,0.515,0.016934228138997212,0,0
Arizona,Suffolk University,10/02/2020,500.0,52.0,48.0,0.52,0.022342784070030305,0,0
Arizona,Ipsos/Reuters,9/23/2020,565.0,50.5,49.5,0.505,0.02103410631138352,B-,D +0.5
Arizona,CNBC/Change Research,9/23/2020,262.0,53.0,47.0,0.53,0.030834450842825562,C-,D +1.6
Arizona,ABC News / Wash. Post,9/23/2020,579.0,49.5,50.5,0.495,0.0207782518825655,A+,D +0.8
Arizona,Redfield & Wilton,9/18/2020,855.0,52.5,47.5,0.525,0.01707825127659933,0,0
Arizona,NY Times / Siena College,9/18/2020,653.0,54.5,45.5,0.545,0.01948710650818268,A+,R +0.4
Arizona,Monmouth University,9/17/2020,420.0,52.0,48.0,0.52,0.02437797600880176,0,0
Arizona,Kaiser Family Foundation,9/17/2020,1298.0,52.5,47.5,0.525,0.013860825954751754,0,0
Arizona,OH Predictive Insights,9/14/2020,600.0,55.0,45.0,0.55,0.020310096011589902,0,0
Arizona,YouGov/CBS News,9/13/2020,1106.0,51.5,48.5,0.515,0.01502785238139857,B,D +0.4
Arizona,Gravis Marketing,9/12/2020,684.0,51.0,49.0,0.51,0.019114153844546258,0,0
